Data;IPCA - saúde e cuidados pessoais - taxa de variação - (% a.m.) - Instituto Brasileiro de Geografia e Estatística, Sistema Nacional de Índices de Preços ao Consumidor (IBGE/SNIPC) - PRECOS12_IPCASC12;
1980.10;5,9;
1980.11;4,43;
1980.12;3,93;
1981.01;4,38;
1981.02;4,62;
1981.03;8,23;
1981.04;10,57;
1981.05;8,27;
1981.06;6,11;
1981.07;7,24;
1981.08;5,94;
1981.09;10,09;
1981.10;5,15;
1981.11;4,1;
1981.12;5,42;
1982.01;7,35;
1982.02;4,83;
1982.03;6,61;
1982.04;6,33;
1982.05;5,23;
1982.06;7,45;
1982.07;5,87;
1982.08;4,33;
1982.09;4,01;
1982.10;4,91;
1982.11;7,92;
1982.12;7,21;
1983.01;9,9;
1983.02;4,44;
1983.03;7,74;
1983.04;11,3;
1983.05;7,7;
1983.06;8,71;
1983.07;8,69;
1983.08;7,71;
1983.09;10,61;
1983.10;6,82;
1983.11;9,19;
1983.12;7,14;
1984.01;11,02;
1984.02;5,83;
1984.03;7,72;
1984.04;11,61;
1984.05;7,53;
1984.06;9,76;
1984.07;15,5;
1984.08;6,88;
1984.09;6,2;
1984.10;10,57;
1984.11;12,76;
1984.12;8,5;
1985.01;14,77;
1985.02;12,96;
1985.03;8,55;
1985.04;16,66;
1985.05;9,8;
1985.06;7,5;
1985.07;7,2;
1985.08;8,99;
1985.09;10,54;
1985.10;6,52;
1985.11;13,97;
1985.12;11,3;
1986.01;8,86;
1986.02;11,37;
1986.03;1,85;
1986.04;1,35;
1986.05;0,49;
1986.06;0,52;
1986.07;0,25;
1986.08;0,3;
1986.09;0,73;
1986.10;0,6;
1986.11;1,56;
1986.12;3,39;
1987.01;7,96;
1987.02;14,56;
1987.03;27,56;
1987.04;34,04;
1987.05;25,23;
1987.06;26,37;
1987.07;7,57;
1987.08;2,46;
1987.09;7,07;
1987.10;8,9;
1987.11;16,43;
1987.12;23,91;
1988.01;22,97;
1988.02;18,01;
1988.03;15,56;
1988.04;16,05;
1988.05;15,08;
1988.06;18,5;
1988.07;18,87;
1988.08;20,82;
1988.09;25,15;
1988.10;24,55;
1988.11;29,91;
1988.12;32,17;
1989.01;33,03;
1989.02;15,27;
1989.03;6,96;
1989.04;5,49;
1989.05;7,77;
1989.06;24,97;
1989.07;33,94;
1989.08;43,59;
1989.09;51,52;
1989.10;47,68;
1989.11;55,41;
1989.12;50,8;
1990.01;71,55;
1990.02;82,7;
1990.03;80,15;
1990.04;15,97;
1990.05;7,41;
1990.06;11,39;
1990.07;10,39;
1990.08;14,2;
1990.09;15,95;
1990.10;18,27;
1990.11;19,47;
1990.12;28,51;
