Data;Importações - (FOB) - US$ - Ministério do Desenvolvimento, Indústria e Comércio Exterior-Secretaria de Comércio Exterior - SECEX12_MVTOT12;
1980.01;2000;
1980.02;1665;
1980.03;1848;
1980.04;2000;
1980.05;1903;
1980.06;1869;
1980.07;1955;
1980.08;1883;
1980.09;2193;
1980.10;1981;
1980.11;1858;
1980.12;1800;
1981.01;1930;
1981.02;1850;
1981.03;1848;
1981.04;1962;
1981.05;1839;
1981.06;1796;
1981.07;1945;
1981.08;1811;
1981.09;1805;
1981.10;1712;
1981.11;1761;
1981.12;1832;
1982.01;1702;
1982.02;1419;
1982.03;1716;
1982.04;1536;
1982.05;1717;
1982.06;1623;
1982.07;1719;
1982.08;1713;
1982.09;1664;
1982.10;1517;
1982.11;1526;
1982.12;1543;
1983.01;1450;
1983.02;1204;
1983.03;1187;
1983.04;1230;
1983.05;1254;
1983.06;1153;
1983.07;1175;
1983.08;1433;
1983.09;1309;
1983.10;1292;
1983.11;1302;
1983.12;1440;
1984.01;1134;
1984.02;1008;
1984.03;1026;
1984.04;1080;
1984.05;1172;
1984.06;1170;
1984.07;1363;
1984.08;1159;
1984.09;1184;
1984.10;1135;
1984.11;1207;
1984.12;1278;
1985.01;1081;
1985.02;973;
1985.03;1074;
1985.04;1033;
1985.05;995;
1985.06;967;
1985.07;977;
1985.08;1071;
1985.09;1111;
1985.10;1261;
1985.11;1206;
1985.12;1404;
1986.01;1335;
1986.02;991;
1986.03;1029;
1986.04;880;
1986.05;951;
1986.06;929;
1986.07;1203;
1986.08;1147;
1986.09;1311;
1986.10;1411;
1986.11;1308;
1986.12;1549;
1987.01;1299;
1987.02;1131;
1987.03;1133;
1987.04;1170;
1987.05;1226;
1987.06;1212;
1987.07;1465;
1987.08;1326;
1987.09;1194;
1987.10;1312;
1987.11;1245;
1987.12;1338;
1988.01;1111;
1988.02;1163;
1988.03;1240;
1988.04;917;
1988.05;1154;
1988.06;1277;
1988.07;1114;
1988.08;1377;
1988.09;1284;
1988.10;1172;
1988.11;1243;
1988.12;1553;
1989.01;1235,647299;
1989.02;1164,14724;
1989.03;1280,294945;
1989.04;1030,431654;
1989.05;1481,00679;
1989.06;1601,313338;
