Data;IPCA - alimentos e bebidas - taxa de variação - (% a.m.) - Instituto Brasileiro de Geografia e Estatística, Sistema Nacional de Índices de Preços ao Consumidor (IBGE/SNIPC) - PRECOS12_IPCAAB12;
1980.10;5,92;
1980.11;10,97;
1980.12;5,73;
1981.01;6,41;
1981.02;5,34;
1981.03;5,66;
1981.04;4,86;
1981.05;5,27;
1981.06;1,75;
1981.07;3,64;
1981.08;5,66;
1981.09;8,16;
1981.10;3,6;
1981.11;4,54;
1981.12;3,69;
1982.01;9,11;
1982.02;5;
1982.03;5,21;
1982.04;5,07;
1982.05;6,11;
1982.06;8,63;
1982.07;8,36;
1982.08;6,02;
1982.09;3,27;
1982.10;2,41;
1982.11;4,04;
1982.12;6,72;
1983.01;13,17;
1983.02;5,84;
1983.03;10,23;
1983.04;9,61;
1983.05;5,61;
1983.06;5,66;
1983.07;17,51;
1983.08;13,61;
1983.09;10,94;
1983.10;20,4;
1983.11;4,74;
1983.12;5,21;
1984.01;9,95;
1984.02;7,1;
1984.03;10,19;
1984.04;12,52;
1984.05;8,39;
1984.06;7,3;
1984.07;9,07;
1984.08;8,34;
1984.09;11,84;
1984.10;13,8;
1984.11;8,24;
1984.12;9,76;
1985.01;13,5;
1985.02;9,36;
1985.03;11,48;
1985.04;8,73;
1985.05;5,16;
1985.06;6,53;
1985.07;10,86;
1985.08;16,04;
1985.09;12,17;
1985.10;9,25;
1985.11;11,5;
1985.12;17,27;
1986.01;17,2;
1986.02;17,64;
1986.03;-3,49;
1986.04;-0,65;
1986.05;0,15;
1986.06;0,45;
1986.07;0,06;
1986.08;0,36;
1986.09;0,31;
1986.10;0,57;
1986.11;3,51;
1986.12;4,73;
1987.01;17,6;
1987.02;18,34;
1987.03;10,23;
1987.04;19,26;
1987.05;22,03;
1987.06;21,97;
1987.07;9,77;
1987.08;4,2;
1987.09;5,73;
1987.10;8,54;
1987.11;15,13;
1987.12;13,52;
1988.01;17,34;
1988.02;13,92;
1988.03;19,24;
1988.04;20,52;
1988.05;17,24;
1988.06;23,1;
1988.07;26,41;
1988.08;20,9;
1988.09;29,6;
1988.10;29,97;
1988.11;29,96;
1988.12;28,61;
1989.01;34,98;
1989.02;14,1;
1989.03;2,76;
1989.04;6,32;
1989.05;21,72;
1989.06;39,94;
1989.07;24,81;
1989.08;32,56;
1989.09;29,39;
1989.10;31,67;
1989.11;46,76;
1989.12;54,28;
1990.01;73,6;
1990.02;67,65;
1990.03;90,23;
1990.04;7,38;
1990.05;3,33;
1990.06;10,9;
1990.07;14,86;
1990.08;10,29;
1990.09;15,01;
1990.10;12,67;
1990.11;15,79;
1990.12;16,92;
1991.01;21,94;
1991.02;18,49;
1991.03;3,87;
1991.04;5,28;
1991.05;4,6;
1991.06;11,23;
1991.07;12,79;
1991.08;;
1991.09;37,85;
1991.10;25,61;
1991.11;30,91;
1991.12;21,66;
1992.01;24,3;
1992.02;24,68;
1992.03;20,89;
1992.04;18,91;
1992.05;25,34;
1992.06;20,57;
1992.07;20,81;
1992.08;22,93;
1992.09;25,72;
1992.10;26,93;
1992.11;23,18;
1992.12;27,42;
1993.01;32,8;
1993.02;23,92;
1993.03;26,02;
1993.04;27,92;
1993.05;26,31;
1993.06;29,7;
1993.07;28,56;
1993.08;33,5;
1993.09;35,28;
1993.10;33,78;
1993.11;36,5;
1993.12;39,37;
1994.01;46,8;
1994.02;40,4;
1994.03;44,26;
1994.04;43,19;
1994.05;40,21;
1994.06;52,15;
1994.07;10,03;
1994.08;1,45;
1994.09;0,13;
1994.10;4,79;
1994.11;4,65;
1994.12;0,96;
1995.01;0,73;
1995.02;-0,06;
1995.03;1,44;
1995.04;1,99;
1995.05;0,51;
1995.06;-0,25;
1995.07;0,98;
1995.08;0,57;
1995.09;-0,03;
1995.10;0,32;
1995.11;1,07;
1995.12;0,86;
1996.01;1,28;
1996.02;0,11;
1996.03;-0,02;
1996.04;0,5;
1996.05;0,67;
1996.06;0,67;
1996.07;0,52;
1996.08;-0,68;
1996.09;-0,58;
1996.10;0,11;
1996.11;-0,37;
1996.12;-0,48;
1997.01;0,97;
1997.02;0,72;
1997.03;1,22;
1997.04;-0,16;
1997.05;-0,92;
1997.06;-0,34;
1997.07;-0,52;
1997.08;-0,57;
1997.09;-0,21;
1997.10;0,27;
1997.11;0,17;
1997.12;0,59;
1998.01;1,24;
1998.02;0,62;
1998.03;0,79;
1998.04;0,85;
1998.05;1,38;
1998.06;0,13;
1998.07;-0,99;
1998.08;-1,2;
1998.09;-0,47;
1998.10;-0,02;
1998.11;-0,46;
1998.12;0,1;
1999.01;0,9;
1999.02;2,71;
1999.03;2,01;
1999.04;-0,23;
1999.05;-0,95;
1999.06;-1,28;
1999.07;-0,24;
1999.08;0,13;
1999.09;0,34;
1999.10;1,77;
1999.11;1,35;
1999.12;1,41;
2000.01;0,84;
2000.02;-0,25;
2000.03;-0,46;
2000.04;-0,36;
2000.05;-0,67;
2000.06;0,11;
2000.07;1,78;
2000.08;2,07;
2000.09;0,53;
2000.10;0,16;
2000.11;-0,07;
2000.12;-0,48;
2001.01;0,63;
2001.02;0,05;
2001.03;1,17;
2001.04;1,8;
2001.05;0,58;
2001.06;0,1;
2001.07;0,67;
2001.08;0,83;
2001.09;0,39;
2001.10;1,15;
2001.11;1,31;
2001.12;0,56;
2002.01;0,85;
2002.02;0,2;
2002.03;0,39;
2002.04;-0,32;
2002.05;-0,59;
2002.06;0,08;
2002.07;1,05;
2002.08;1,94;
2002.09;1,96;
2002.10;2,79;
2002.11;5,85;
2002.12;3,91;
2003.01;2,15;
2003.02;1,22;
2003.03;1,66;
2003.04;1,01;
2003.05;0,63;
2003.06;-0,34;
2003.07;-0,67;
2003.08;-0,27;
2003.09;0,78;
2003.10;0,46;
2003.11;0,25;
2003.12;0,39;
2004.01;0,88;
2004.02;0,15;
2004.03;0,43;
2004.04;-0,34;
2004.05;0,23;
2004.06;0,72;
2004.07;0,67;
2004.08;0,85;
2004.09;-0,19;
2004.10;-0,23;
2004.11;-0,01;
2004.12;0,65;
2005.01;0,78;
2005.02;0,49;
2005.03;0,26;
2005.04;0,81;
2005.05;0,65;
2005.06;-0,67;
2005.07;-0,77;
2005.08;-0,73;
2005.09;-0,25;
2005.10;0,27;
2005.11;0,88;
2005.12;0,27;
2006.01;0,11;
2006.02;-0,28;
2006.03;-0,24;
2006.04;-0,27;
2006.05;-0,03;
2006.06;-0,61;
2006.07;0,09;
2006.08;0,07;
2006.09;0,08;
2006.10;0,88;
2006.11;1,05;
2006.12;0,39;
2007.01;0,84;
2007.02;0,78;
2007.03;0,98;
2007.04;0,03;
2007.05;0,16;
2007.06;1,09;
2007.07;1,27;
2007.08;1,39;
2007.09;0,44;
2007.10;0,52;
2007.11;0,73;
2007.12;2,06;
2008.01;1,52;
2008.02;0,6;
2008.03;0,89;
2008.04;1,29;
2008.05;1,95;
2008.06;2,11;
2008.07;1,05;
2008.08;-0,18;
2008.09;-0,27;
2008.10;0,69;
2008.11;0,61;
2008.12;0,36;
2009.01;0,75;
2009.02;0,27;
2009.03;0,3;
2009.04;0,15;
2009.05;0,44;
2009.06;0,7;
2009.07;-0,06;
2009.08;-0,01;
2009.09;-0,14;
2009.10;-0,09;
2009.11;0,58;
2009.12;0,24;
2010.01;1,13;
2010.02;0,96;
2010.03;1,55;
2010.04;1,45;
2010.05;0,28;
2010.06;-0,9;
2010.07;-0,76;
2010.08;-0,24;
