Data;Taxa de câmbio - R$ / US$ - comercial - venda - média - R$ - Banco Central do Brasil, Boletim, Seção Balanço de Pagamentos (Bacen / Boletim / BP) - BM12_ERV12;
1930.01;3,27272727272727E-15;
1930.02;3,27272727272727E-15;
1930.03;3,16363636363636E-15;
1930.04;3,09090909090909E-15;
1930.05;3,09090909090909E-15;
1930.06;3,2E-15;
1930.07;3,38181818181818E-15;
1930.08;3,67272727272727E-15;
1930.09;3,6E-15;
1930.10;3,45454545454545E-15;
1930.11;3,45454545454545E-15;
1930.12;3,78181818181818E-15;
1931.01;3,96363636363636E-15;
1931.02;4,25454545454545E-15;
1931.03;4,61818181818182E-15;
1931.04;5,05454545454545E-15;
1931.05;5,45454545454545E-15;
1931.06;4,87272727272727E-15;
1931.07;5,09090909090909E-15;
1931.08;5,70909090909091E-15;
1931.09;5,85454545454545E-15;
1931.10;5,85454545454545E-15;
1931.11;5,85454545454545E-15;
1931.12;5,78181818181818E-15;
1932.01;5,78181818181818E-15;
1932.02;5,78181818181818E-15;
1932.03;5,49090909090909E-15;
1932.04;5,49090909090909E-15;
1932.05;5,01818181818182E-15;
1932.06;4,83636363636364E-15;
1932.07;4,83636363636364E-15;
1932.08;4,83636363636364E-15;
1932.09;4,83636363636364E-15;
1932.10;4,83636363636364E-15;
1932.11;4,83636363636364E-15;
1932.12;4,83636363636364E-15;
1933.01;4,83636363636364E-15;
1933.02;4,83636363636364E-15;
1933.03;4,83636363636364E-15;
1933.04;4,83636363636364E-15;
1933.05;4,83636363636364E-15;
1933.06;4,83636363636364E-15;
1933.07;4,58181818181818E-15;
1933.08;4,50909090909091E-15;
1933.09;4,4E-15;
1933.10;4,36363636363636E-15;
1933.11;4,32727272727273E-15;
1933.12;4,25454545454545E-15;
1934.01;4,29090909090909E-15;
1934.02;4,32727272727273E-15;
1934.03;4,29090909090909E-15;
1934.04;4,25454545454545E-15;
1934.05;6,54545454545454E-15;
1934.06;5,85454545454545E-15;
1934.07;5,74545454545455E-15;
1934.08;5,41818181818182E-15;
1934.09;5,12727272727273E-15;
1934.10;4,98181818181818E-15;
1934.11;5,2E-15;
1934.12;5,45454545454545E-15;
1935.01;5,52727272727273E-15;
1935.02;5,49090909090909E-15;
1935.03;5,85454545454545E-15;
1935.04;6,07272727272727E-15;
1935.05;6,58181818181818E-15;
1935.06;6,69090909090909E-15;
1935.07;6,69090909090909E-15;
1935.08;6,76363636363636E-15;
1935.09;6,61818181818182E-15;
1935.10;6,36363636363636E-15;
1935.11;6,54545454545454E-15;
1935.12;6,58181818181818E-15;
1936.01;6,4E-15;
1936.02;6,25454545454545E-15;
1936.03;6,47272727272727E-15;
1936.04;6,43636363636364E-15;
1936.05;6,43636363636364E-15;
1936.06;6,32727272727273E-15;
1936.07;6,25454545454545E-15;
1936.08;6,21818181818182E-15;
1936.09;6,18181818181818E-15;
1936.10;6,18181818181818E-15;
1936.11;6,18181818181818E-15;
1936.12;6,10909090909091E-15;
1937.01;5,96363636363636E-15;
1937.02;5,96363636363636E-15;
1937.03;5,92727272727273E-15;
1937.04;5,78181818181818E-15;
1937.05;5,63636363636364E-15;
1937.06;5,52727272727273E-15;
1937.07;5,49090909090909E-15;
1937.08;5,49090909090909E-15;
1937.09;5,56363636363636E-15;
1937.10;6,10909090909091E-15;
1937.11;6,25454545454545E-15;
1937.12;6,36363636363636E-15;
1938.01;6,4E-15;
1938.02;6,4E-15;
1938.03;6,4E-15;
1938.04;6,4E-15;
1938.05;6,4E-15;
1938.06;6,4E-15;
1938.07;6,4E-15;
1938.08;6,43636363636364E-15;
1938.09;6,43636363636364E-15;
1938.10;6,43636363636364E-15;
1938.11;6,43636363636364E-15;
1938.12;6,43636363636364E-15;
1939.01;6,43636363636364E-15;
1939.02;6,43636363636364E-15;
1939.03;6,47272727272727E-15;
1939.04;;
1939.05;;
1939.06;;
1939.07;;
1939.08;;
1939.09;;
1939.10;;
1939.11;;
1939.12;;
1940.01;;
1940.02;;
1940.03;;
1940.04;;
1940.05;;
1940.06;;
1940.07;;
1940.08;;
1940.09;;
1940.10;;
1940.11;;
1940.12;;
1941.01;7,52727272727273E-15;
1941.02;7,52727272727273E-15;
1941.03;7,52727272727273E-15;
1941.04;7,52727272727273E-15;
1941.05;7,49090909090909E-15;
1941.06;7,45454545454546E-15;
1941.07;7,49090909090909E-15;
1941.08;7,49090909090909E-15;
1941.09;7,45454545454546E-15;
1941.10;7,49090909090909E-15;
1941.11;7,45454545454546E-15;
1941.12;7,49090909090909E-15;
1942.01;7,45454545454546E-15;
1942.02;7,45454545454546E-15;
1942.03;7,45454545454546E-15;
1942.04;7,45454545454546E-15;
1942.05;7,38181818181818E-15;
1942.06;7,45454545454546E-15;
1942.07;7,45454545454546E-15;
1942.08;7,45454545454546E-15;
1942.09;7,45454545454546E-15;
1942.10;7,45454545454546E-15;
1942.11;7,45454545454546E-15;
1942.12;7,41818181818182E-15;
1943.01;7,45454545454546E-15;
1943.02;7,45454545454546E-15;
1943.03;7,45454545454546E-15;
1943.04;7,45454545454546E-15;
1943.05;7,45454545454546E-15;
1943.06;7,45454545454546E-15;
1943.07;7,45454545454546E-15;
1943.08;7,41818181818182E-15;
1943.09;7,30909090909091E-15;
1943.10;7,38181818181818E-15;
1943.11;7,30909090909091E-15;
1943.12;7,38181818181818E-15;
1944.01;7,30909090909091E-15;
1944.02;7,30909090909091E-15;
1944.03;7,30909090909091E-15;
1944.04;7,34545454545455E-15;
1944.05;7,30909090909091E-15;
1944.06;7,38181818181818E-15;
1944.07;7,34545454545455E-15;
1944.08;7,30909090909091E-15;
1944.09;7,23636363636364E-15;
1944.10;7,23636363636364E-15;
1944.11;7,23636363636364E-15;
1944.12;7,2E-15;
1945.01;7,23636363636364E-15;
1945.02;7,23636363636364E-15;
1945.03;7,23636363636364E-15;
1945.04;7,23636363636364E-15;
1945.05;7,23636363636364E-15;
1945.06;7,27272727272727E-15;
1945.07;7,27272727272727E-15;
1945.08;7,27272727272727E-15;
1945.09;7,27272727272727E-15;
1945.10;7,27272727272727E-15;
1945.11;7,27272727272727E-15;
1945.12;7,27272727272727E-15;
1946.01;7,23636363636364E-15;
1946.02;7,27272727272727E-15;
1946.03;7,30909090909091E-15;
1946.04;7,30909090909091E-15;
1946.05;7,30909090909091E-15;
1946.06;7,30909090909091E-15;
1946.07;7,23636363636364E-15;
1946.08;7,2E-15;
1946.09;6,80727272727273E-15;
1946.10;6,80727272727273E-15;
1946.11;6,80727272727273E-15;
1946.12;6,80727272727273E-15;
1947.01;6,80727272727273E-15;
1947.02;6,80727272727273E-15;
1947.03;6,80727272727273E-15;
1947.04;6,80727272727273E-15;
